,0
0,"Here are the timestamps. Please check out our sponsors to support this podcast.
0:00 - Introduction & sponsor mentions:
- Lambda: https://lambdalabs.com/lex
- Scale: https://scale.com/lex
- Athletic Greens: https://athleticgreens.com/lex and use code LEX to get 1 month of fish oil
- ExpressVPN: https://expressvpn.com/lexpod and use code LexPod to get 3 months free
- ROKA: https://roka.com/ and use code LEX to get 20% off your first order
2:19 - Putin and Stalin
13:09 - Putin vs the West
36:01 - Response to Oliver Stone
47:07 - Russian invasion of Ukraine
1:26:35 - Putin's plan for the war
1:34:33 - Henry Kissinger
1:40:28 - Nuclear war
1:51:01 - Parallels to World War II
2:13:47 - China
2:21:55 - World War III
2:29:24 - Navalny
2:33:41 - Meaning of life"
1,"I think this complement could be taken the wrong way, but these interviews remind me of Charlie Rose.  Minimalist studio, no distractions, interesting guests, calm delivery of thoughtful questions.  Lex is definitely filling a space that needs to be filled.  Well done"
2,It took me 11 hours to do the math but he said “Lex” more than any other guest combined 
3,"I love Stephen Kotkin. One of my fav historians, he should be much more widely known."
4,This interview was a certified classic!
5,"One of my favorite guests you’ve had on previously. Looking forward to listening to this one. Thanks for the great content, Lex."
6,"What an excellent interview. What fine people! Thank you for sharing your expertise and analysis, and something of yourselves."
7,"Having an interview with Stephen Kotkin and Oliver Stone to discuss Russia in such a short time period is a major achievement. I'm not sure exactly how to put it, but it can't be understated just how much insight we received in such a short time period."
8,"I’m blown away with the compassion, depth and overwhelming insight this conversation brings to the table. What a masterpiece! Thank you so very much, Stephen and Lex! 🫡"
9,I especially appreciated Dr. Kotkin’s take on how to live a purposeful life.  What an amazing scholar and human being.
10,"Lex I’m so glad that you allowed Stephen the time to fully develop his arguments, and Stephen, thank you for the compassion and logic."
11,This is the 2nd time I listen to this pod cast and I am in awwww as to all the points covered in such an amazing way.    I want to read all of Steven's writings.
12,"This was a great conversation. I enjoyed it. Your guest is very knowledgeable and I appreciated your ability as an interviewer to listen objectively. My only critique comes early in the conversation during the Putin vs the West timestamp. The United States does have some publicly noted history in attempting to destabilize perceived enemy nations and install pro-western regimes, especially if those regimes have a lot of assets to be acquired the biggest being oil, and utilize it to our gain. Even if everything Stephen says is true about western Europe and United States being very welcoming to Russia throughout the years it does not change the fact that Putin is aware of the West's previous tactics in other countries. This coupled with his own training in ideological subversion, and economic warfare when he was an officer with the KGB it would no doubt make for a very heightened and suspicious individual who is aware Russia posses a lot of assets to be gained by west Europe and The United States, and he has seen we are not above destabilizing a country and leaving it's citizen's in shambles as a means to our own gain. This is by no means a support for Putin or the horrors of autocracy. However I think it needs to be noted because without all the nuances the bigger picture cannot be objectively and precisely formed. If the United States wants larger countries that posses a potential superpower risk such as Russia or China to become our allies then we need to prove we are universally trustworthy.
edit: 
And overstaying our time in the middle east, while attempting a regime change in Iraq and then our hasty sloppy withdrawal from Afghanistan was not and is not a good universal look. Not to mention our dependency on the abuse of Asia's cheap labor force so that we can live privileged lives filled with inexpensive things. Let's always promote freedom and democracy but also do our best to look at the biggest picture possible when doing so, because if we don't our freedom might be coming at the cost of someone else's enslavement."
13,"As an 80 years old Dane living in Denmark on a small Island called Fejoe, I am trilled to listen to this interwiev. IT gives me an outwiev og the greater political situation. I am indeed thankful for this posibily."
14,"What a relief listening to this after the Stone thing.
Thx for the great podcast"
15,Outstanding! Thank you Lex & Stephen 
16,I love listening to Stephen :-D Stuff happens.... That is priceless from a renowned professor. Nonetheless very true. Nobody has perfect information and the ability to process it.
17,I admire Stephen Kotkin so much.Lex you did a great job!x
18,"""Lex"" - Most used word in this Podcast! - Amazing listen, thank you!"
19,"Thank you, Lex, for bringing Kotkin after Stone."
20,"Having watched the Oli Stone interview, I have to say I really appreciate the diverse perspectives you have on the show, Lex.  Great stuff"
21,"Amazing interview, thank you for sharing!"
22,"Lex, you are a diamond in the rough.. Thank you for everything you do."
23,I enjoyed every minute of it! Just discovered Lex! Спасибо и блестяще!
24,Thanks for your work Lex!
25,This conversation is just fantastic. Thank you.
26,Heartfelt intro.  I feel but a piece of that tracing my ancestry that has history in both countries.  I lived in Moscow for a year and visited 3 weeks in Kiev.  I too have a heart for both and support your quest.  Godspeed Lex.
27,Thank you for putting out Stones and Kotkins interviews on this topic. Greetings from Germany!
28,"Moving intro Lex and appreciate the balancing  view., lovely man, Mr Kotkin. Tread carefully on your travels Lex this world needs good souls and intellects like you. Stay safe!"
29,"What a fantastic, insightful and very well articulated interview!"
30,Outstanding interview. Your podcast is second to none Lex. Keep up the great work.
31,Wow this guy is great! Such a good episode
32,"Wow, I really enjoyed this podcast without realizing this is outside my immediate interests. Thanks Lex and Stephen!"
33,"Lex podcasts are great,  love the way he allows the guest to have a platform to speak, I only wish he would push back more against all arguments. It seems there are too many opinions interjected in these discussions that go unchallenged."
34,Take a drink every time Stephen says “Lex”. You’ll have a 2-day hangover.
35,"Fascinating to hear after Stone. The objective vs. subjective view. It's interesting to imagine him talking about Russia when he mentions the United States, and vice versa."
36,Great interview! I truly appreciated hearing this.
37,Very one-sided interview and he contradicts himself a lot. I dont know how you guys are saying this is the best interview ever
38,"This is a very educational and great interview. No rush, good thoughts and positivity through the dialog. Thank you Lex and Stephen!"
39,"Very educational interview with a great mind. I listened to this interview twice. If nothing else Lex, you attract the greatest minds in western culture. You are learning too, keep up the good line up of guests for your interviews."
40,"Me, a Chinese, listening to him talking about China at 1 AM in the morning. I've watched all your clips about China and communism"
41,One of the greatest minds in contemporary geo politics. First time ive listened to a 2 hour plus podcast from beginning to end. A truly brilliant mind analysing some truly intricate problems.
42,Thank you so much! One of the greatest interviews I recently watched
43,"Thank you Stephen Kotkin, you are brilliant."
44,One of my favorite guests!
45,2:24:00 This part was funny. It's nice to have a response to Oliver Stone.
46,Your doing a wonderful job Lex. Thank you for the so interesting educational interviews .
47,"Another wonderful lecture, thank you Lex.  I am a little smarter now."
48,Awesome view you keep expanding in amazing ways the picture gets more clarity with every interaction
49,"Lex, thank you for this great interview.
You will probably have no problem with your visit to Ukraine."
50,"So this was really all about Lex Fridman. I knew it!!
Seriously, though. This was a great interview."
