,0
0,"Here are the timestamps. Please check out our sponsors to support this podcast.
0:00 - Introduction & sponsor mentions:
- Novo: https://novo.co/lex
- Blinkist: https://blinkist.com/lex and use code LEX to get 25% off premium
- SimpliSafe: https://simplisafe.com/lex and use code LEX
- ExpressVPN: https://expressvpn.com/lexpod and use code LexPod to get 3 months free
- NetSuite: http://netsuite.com/lex to get free product tour
2:54 - Nuclear power
15:52 - Russia and US relations
21:07 - JFK and the Cold War
26:24 - Interviewing Putin
50:02 - Invasion of Ukraine
59:20 - Why Putin invaded Ukraine
1:13:44 - Propaganda
1:21:02 - Interviewing Putin in 2022
1:28:17 - Nuclear war
1:34:28 - Advice on interviewing
1:38:09 - Interviewing Hitler
1:41:30 - Putin interview language barrier
1:42:41 - Love
1:44:36 - Advice to young people
1:47:42 - Mortality
1:48:44 - Regrets
1:50:41 - Meaning of life"
1,"“When exposing a crime is treated as committing a crime, you are being ruled by criminals.” 
- Edward Snowden"
2,"I never felt inclined to and never bothered leaving any comments at anything anywhere, however I've only just discovered Lex Fridman. Aside from his guests' personal views and opinions, I'm very impressed with his interviewing skills. The angle from which he drives the conversation, his manner and tone when asking his questions. It is always respectful and curious which in the end always translates to very insightful conversations. Great job."
3,"Oliver Stone, please protect the man for the future of this world!! So honest and eye opening interview in today's world of propaganda!"
4,"This is an outstanding interview such nice dialogue between both, very honest very smart thank you for both."
5,This is such a superb example of a quality conversation between two men who demonstrate mutual respect. Thank you to both of you for adding to the human experience of building insight and the generation of wisdom. This is like breathing in oxygen in an otherwise toxic eco system of  propaganda.
6,"Thank you Lex, great episode as always."
7,"""A healthy democracy will take criticism and shrug it off."" So true."
8,I am honestly disturbed buy this level of spin from someone I thought had insight. Great interview Lex
9,"This was very interesting to listen to, thank you!"
10,"Oliver Stone wrote on March 3 about Putin's ""mistakes"": 2) ""Overestimating the military's ability to achieve its objective."" - He doesn't say what the objective was and Lex doesn't ask him."
11,I really appreciate these long form conversations.  You really get to see alot of the person being interviewed.
12,Thanks for this. Great work by all involved. Few realise how close to the edge we all are.
13,"--- TimeStamps ---
 00:00 -  Introduction
 02:54 -  Nuclear power
 15:52 -  Russia and US relations
 21:07 -  JFK and the Cold War
 26:24 -  Interviewing Putin
 50:02 -  Invasion of Ukraine
 59:20 -  Why Putin invaded Ukraine
1:13:44 -  Propaganda
1:21:02 -  Interviewing Putin in 2022
1:28:17 -  Nuclear war
1:34:28 -  Advice on interviewing
1:38:09 -  Interviewing Hitler
1:41:30 -  Putin interview language barrier
1:42:41 -  Love
1:44:36 -  Advice to young people
1:47:42 -  Mortality
1:48:44 -  Regrets
1:50:41 -  Meaning of life"
14,"I don’t always agree with you lex, but I appreciate your work greatly. Ppl don’t really even realize that we’re in a new age of receiving information, n these conversations that you have with ppl from far left to far right  just means it’s a fair playing field. Thank you for accomplishing something Mainstream Media cannot"
15,You are truly a great person Lex
16,"""Censorship is a way of life when democracies also feel threatened. They're much more fragile than they pretend to be. A healthy democracy will take all the criticism in the world and shrug it off. And say okay that's what's good about our country."" 

That's a good point. Whether you agree with his opinions or not."
17,"This was brilliant. Thanks, Lex"
18,"Oliver Stone is absent of knowledge that nuclear meltdowns are deadly.  We had a roommate from Romania who was about School age when Chernobyl blew up. It was horrifying to hear about their experience. None of him or his sisters were ever able to have kids. Three Mile island produced cancers. It was known years ago that there was an increase in cancers afterward, and according to the documentary we watched on Netflix, I think it was, people surrounding the plants, and people who were in the in the direction the wind blew, got cancers. Fukushima is an utter human and environmental disaster.  Fish in our Pacific Ocean are contaminated with radiation from the Japanese releasing their coolant water into the ocean. We lived about 1,000 feet from shore in Oregon and we and others we knew in Astoria, got burning skin from the radiation. They knew how long it would take the wind to get it over the ocean to the US. Please don’t tell me nuclear plants are safe."
19,so keen to hear Oliver Stone is making a documentary about nuclear energy. Hoping to program it when it is released for our community-run environmental film series Be the Change.
20,"Thank you for posting and all the work that this entails!
Operating from the position of Love is key in these otherwise confusing and fearful times!!! Be the change, it's catchy!!!"
21,Wonderful conversation. Thank you. Much love Lex.
22,"Clever, honest, and brave... My deepest respect!"
23,I hope we get a round two.. I want to hear more about Oliver's take on JFK..
24,"Hey Lex, hope you see this, thank you for doing what you do! If possible you should try and have Peter Zeihan on."
